ans	Most recent answer
clc	Clear Command Window
commandhistory	Open Command History window
commandwindow	Select the Command Window
diary	Log Command Window text to file
DisplayFormatOptions	Output display format in Command Window (Since R2021a)
format	Set output display format
home	Send cursor home
iskeyword	Determine if input is MATLAB keyword
more	Control paged output in Command Window
Matrices and Arrays
Create and Combine Arrays
blkdiag	Block diagonal matrix
cat	Concatenate arrays
combinations	Generate all element combinations of arrays (Since R2023a)
diag	Create diagonal matrix or get diagonal elements of matrix
eye	Identity matrix
false	Logical 0 (false)
horzcat	Concatenate arrays horizontally
ones	Create array of all ones
rand	Uniformly distributed random numbers
repelem	Repeat copies of array elements
repmat	Repeat copies of array
true	Logical 1 (true)
vertcat	Concatenate arrays vertically
zeros	Create array of all zeros
Create Grids
freqspace	Frequency spacing for frequency response
linspace	Generate linearly spaced vector
logspace	Generate logarithmically spaced vector
meshgrid	2-D and 3-D grids
ndgrid	Rectangular grid in N-D space
Determine Size, Shape, and Order
iscolumn	Determine if input is column vector
isempty	Determine whether array is empty
ismatrix	Determine whether input is matrix
isrow	Determine if input is row vector
isscalar	Determine whether input is scalar
issorted	Determine if array is sorted
issortedrows	Determine if matrix or table rows are sorted
isuniform	Determine if vector is uniformly spaced (Since R2022b)
isvector	Determine whether input is vector
length	Length of largest array dimension
ndims	Number of array dimensions
numel	Number of array elements
size	Array size
Resize, Reshape, and Rearrange
Resize
head	Get top rows of array or table
paddata	Pad data by adding elements (Since R2023b)
resize	Resize data by adding or removing elements (Since R2023b)
tail	Get bottom rows of array or table
trimdata	Trim data by removing elements (Since R2023b)
Reshape
ipermute	Inverse permute array dimensions
permute	Permute array dimensions
reshape	Reshape array by rearranging existing elements
shiftdim	Shift array dimensions
squeeze	Remove dimensions of length 1
Rearrange
circshift	Shift array circularly
ctranspose	Complex conjugate transpose
flip	Flip order of elements
fliplr	Flip array left to right
flipud	Flip array up to down
rot90	Rotate array 90 degrees
sort	Sort array elements
sortrows	Sort rows of matrix or table
transpose	Transpose vector or matrix
Indexing
colon	Vector creation, array subscripting, and for-loop iteration
end	Terminate block of code or indicate last array index
ind2sub	Convert linear indices to subscripts
sub2ind	Convert subscripts to linear indices
Data Types
Numeric Types
allfinite	Determine if all array elements are finite (Since R2022a)
anynan	Determine if any array element is NaN (Since R2022a)
cast	Convert variable to different data type
double	Double-precision arrays
eps	Floating-point relative accuracy
flintmax	Largest consecutive integer in floating-point format
Inf	Create array of all Inf values
int16	16-bit signed integer arrays
int32	32-bit signed integer arrays
int64	64-bit signed integer arrays
int8	8-bit signed integer arrays
intmax	Largest value of specific integer type
intmin	Smallest value of specific integer type
isfinite	Determine which array elements are finite
isfloat	Determine if input is floating-point array
isinf	Determine which array elements are infinite
isinteger	Determine whether input is integer array
isnan	Determine which array elements are NaN
isnumeric	Determine whether input is numeric array
isreal	Determine whether array uses complex storage
NaN	Create array of all NaN values
realmax	Largest positive floating-point number
realmin	Smallest normalized floating-point number
single	Single-precision arrays
typecast	Convert data type without changing underlying data
uint16	16-bit unsigned integer arrays
uint32	32-bit unsigned integer arrays
uint64	64-bit unsigned integer arrays
uint8	8-bit unsigned integer arrays
Characters and Strings
alphanumericBoundary	Match boundary between alphanumeric and non-alphanumeric characters (Since R2020b)
alphanumericsPattern	Match letter and digit characters (Since R2020b)
append	Combine strings
asFewOfPattern	Match pattern as few times as possible (Since R2020b)
asManyOfPattern	Match pattern as many times as possible (Since R2020b)
blanks	Create character array of blanks
caseInsensitivePattern	Match pattern regardless of case (Since R2020b)
caseSensitivePattern	Match pattern with case sensitivity (Since R2020b)
cellstr	Convert to cell array of character vectors
char	Character array
characterListPattern	Match characters from list (Since R2020b)
compose	Format data into multiple strings
contains	Determine if pattern is in strings
convertCharsToStrings	Convert character arrays to string arrays, leaving other arrays unaltered
convertContainedStringsToChars	Convert string arrays at any level of cell array or structure
convertStringsToChars	Convert string arrays to character arrays, leaving other arrays unaltered
count	Count occurrences of pattern in strings
deblank	Remove trailing whitespace from ends of strings
digitBoundary	Match boundary between digit characters and non-digit characters (Since R2020b)
digitsPattern	Match digit characters (Since R2020b)
double	Double-precision arrays
endsWith	Determine if strings end with pattern
erase	Delete substrings within strings
eraseBetween	Delete substrings between start and end points
extract	Extract substrings from strings (Since R2020b)
extractAfter	Extract substrings after specified positions
extractBefore	Extract substrings before specified positions
extractBetween	Extract substrings between start and end points
insertAfter	Insert strings after specified substrings
insertBefore	Insert strings before specified substrings
iscellstr	Determine if input is cell array of character vectors
ischar	Determine if input is character array
isletter	Determine which characters are letters
isspace	Determine which characters are space characters
isstring	Determine if input is string array
isStringScalar	Determine if input is string array with one element
isstrprop	Determine which characters in input strings are of specified category
join	Combine strings
letterBoundary	Match boundary between letter characters and non-letter characters (Since R2020b)
